SALAMONIE SCHOOL, WARREN, IN, 1063 E 900 S
SAMUEL WATSON, FALL RIVER, MA, 935 EASTERN AVENUE
SAMUELS ELEMENTARY SCHOOL, DENVER, CO, 3985 SOUTH VINCENNES COURT
SAN ANTONIO ELEMENTARY, LOCKWOOD, CA, 67550 LOCKWOOD/JOLON RD.
SAN ANTONIO ELEMENTARY, OJAI, CA, 650 CARNE RD.
SAN ANTONIO ELEMENTARY, POMONA, CA, 855 E. KINGSLEY AVE.
SAN ANTONIO ELEMENTARY, SAN JOSE, CA, 1721 E. SAN ANTONIO ST.
SAN ANTONIO ELEMENTARY SCHOOL, DADE CITY, FL, 32416 DARBY RD
SAN ANTONIO HIGH (CONTINUATION), CLAREMONT, CA, 125 W. SAN JOSE AVE.
SAN ANTONIO HIGH (CONTINUATION), PETALUMA, CA, 500 VALLEJO ST.
SAN ANTONITO ELEMENTARY, SANDIA PARK, NM, 12555 NORTH HWY 14
SAN ARDO ELEMENTARY, SAN ARDO, CA, 62428 CENTER ST.
SAN AUGUSTINE H S, SAN AUGUSTINE, TX, 702 N CLARK ST
SAN BENANCIO MIDDLE, SALINAS, CA, 43 SAN BENANCIO RD.
SAN BENITO COUNTY OPPORTUNITY, HOLLISTER, CA, 191 ALVARADO ST.
SAN BENITO ELEMENTARY, ATASCADERO, CA, 4300 SAN BENITO RD.
SAN BENITO H S, SAN BENITO, TX, 450 S WILLIAMS RD
SAN BENITO RIVERSIDE MIDDLE, SAN BENITO, TX, 35428 PADILLA ST
SAN BERNARDINO HIGH, SAN BERNARDINO, CA, 1850 N. E ST.
SAN DIEGO CHRISTIAN COLLEGE, SANTEE, CA, 200 RIVERVIEW PARKWAY
SAN DIEGO GLOBAL VISION ACADEMY, SAN DIEGO, CA, 3430 SCHOOL ST.
SAN FRANCISCO DAY SCHOOL, SAN FRANCISCO, CA, 350 MASONIC AVE
SAN FRANCISCO FRIENDS SCHOOL, SAN FRANCISCO, CA, 250 VALENCIA ST.
SAN FRANCISCO ISLAMIC SCHOOL, SAN FRANCISCO, CA, 3250 18TH ST.
SAN FRANCISCO PACIFIC ACADEMY, SAN FRANCISCO, CA, 3301 BALBOA ST.
SAN FRANCISCO SCHOOLHOUSE, SAN FRANCISCO, CA, 301 14TH AVE.
SAN FRANCISCO STATE UNIVERSITY - ROMBERG TIBURON CENTER, BELVEDERE TIBURON, CA, 3152 PARADISE DRIVE
SAN FRANCISCO THEOLOGICAL SEMINARY, SAN ANSELMO, CA, 105 SEMINARY ROAD
SAN FRANCISCO WALDORF HIGH SCHOOL, SAN FRANCISCO, CA, 470 W PORTAL AVE
SAN GABRIEL ACADEMY, SAN GABRIEL, CA, 8827 EAST BRD.WAY ST.
SAN GABRIEL ELEMENTARY, ATASCADERO, CA, 8500 SAN GABRIEL RD.
SAN GABRIEL HIGH, SAN GABRIEL, CA, 801 RAMONA ST.
SAN GABRIEL VALLEY/TRAINING CE, LA PUENTE, CA, 400 S. COVINA BLVD.
SAN GORGONIO MIDDLE, BEAUMONT, CA, 1591 CHERRY AVE
SAN JACINTO COMMUNITY COLLEGE - NORTH CAMPUS, HOUSTON, TX, 5800 UVALDE
SAN JACINTO ELEMENTARY, SAN JACINTO, CA, 136 N. RAMONA BLVD.
SAN JACINTO HIGH, SAN JACINTO, CA, 500 IDYLLWILD DR.
SAN JACINTO INT, PASADENA, TX, 3600 RED BLUFF
SAN JACINTO J H, MIDLAND, TX, 1400 N N ST
SAN JOAQUIN COLLEGE OF LAW, CLOVIS, CA, 901 FIFTH ST
SAN JOAQUIN DELTA COLLEGE - MANTECA CENTER, MANTECA, CA, 5298 BRUNSWICK RD
SAN JOAQUIN DELTA COLLEGE - MOUNTAIN HOUSE, TRACY, CA, 2073 MH CENTRAL PKWY
SAN JOAQUIN ELEMENTARY, LAGUNA HILLS, CA, 22182 BARBERA
SAN JOAQUIN ELEMENTARY, SAN JOAQUIN, CA, 8535 S. NINTH
SAN JOAQUIN VALLEY CHARTER, PARLIER, CA, 900 NEWMARK AVE.
SAN JOAQUIN VALLEY COLLEGE-VISALIA, VISALIA, CA, 8344 W MINERAL KING AVE
SAN JOAQUIN VALLEY HIGH, PARLIER, CA, 900 NEWMARK AVE.
SAN JON ELEMENTARY, SAN JON, NM, 7TH AND ELM STREETS
SAN JON HIGH, SAN JON, NM, 7TH AND ELM STREETS
SAN JOSE CATHOLIC GRADE SCHOOL, JACKSONVILLE, FL, 3619 TOLEDO RD A
SAN JOSE CHARTER ACADEMY, WEST COVINA, CA, 2021 W. ALWOOD ST.
SAN JOSE GIFTED MAGNET, MISSION HILLS, CA, 14928 CLYMER ST.
SAN JOSE MONTESSORI SCHOOL, CAMPBELL, CA, 1260 ERIN WAY
SAN JUAN BAUTISTA SCHOOL OF MEDICINE, CAGUAS, PR, CARRETERA 172 URB. TURABO GARDENS
SAN JUAN CHOICES CHARTER, SACRAMENTO, CA, 4425 LAURELWOOD WAY
SAN JUAN COLLEGE - EAST CAMPUS, AZTEC, NM, 315 S ASH ST
SAN JUAN COLLEGE - WEST CAMPUS, KIRTLAND, NM, 69 CR 6500
SAN JUAN DEL RIO CATHOLIC SCHOOL, ST JOHNS, FL, 1714 STATE ROAD 13
SAN JUAN DIEGO ACADEMY, WYOMING, MI, 1650 GODFREY AVE SW
SAN JUAN DIEGO CATHOLIC HIGH SCHOOL, AUSTIN, TX, 800 HERNDON LN
SAN JUAN ELEMENTARY, SAN JUAN BAUTISTA, CA, THE ALAMEDA & NYLAND DR.
SAN JUAN ELEMENTARY, SAN JUAN CAPISTRANO, CA, 31642 EL CAMINO REAL
SAN JUAN HIGH, BLANDING, UT, 311 N 100 E
SAN JUAN HIGH, CITRUS HEIGHTS, CA, 7551 GREENBACK LN.
SAN JUAN HILLS HIGH, SAN JUAN CAPISTRANO, CA, 29211 STALLION RIDGE
SAN JUAN MONTESSORI SCHOOL, ANACORTES, WA, 1308 7TH ST
SAN LAUREN ELEMENTARY, BAKERSFIELD, CA, 5210 VICTOR ST.
SAN LEANDRO ADULT, SAN LEANDRO, CA, 1448 WILLIAMS ST.
SAN LEANDRO CHARTER ACADEMY, SAN LEANDRO, CA, 16248 CAROLYN ST.
SAN LEANDRO HIGH, SAN LEANDRO, CA, 2200 BANCROFT AVE.
SAN LEON EL, DICKINSON, TX, 2655 BROADWAY ST
SAN LORENZO ADULT, SAN LORENZO, CA, 820 BOCKMAN RD.
SAN LORENZO VALLEY HIGH, FELTON, CA, 7105 HIGHWAY 9
SAN LORENZO VALLEY MIDDLE, FELTON, CA, 7179 HACIENDA WAY
SAN LUCAS ELEMENTARY, SAN LUCAS, CA, 53675 SAN BENITO ST.
SAN LUIS COASTAL ADULT, SAN LUIS OBISPO, CA, 1500 LIZZIE ST.
SAN LUIS ELEMENTARY, EAGLE PASS, TX, 2090 WILLIAMS ST
SAN LUIS HIGH (CONTINUATION), LOS BANOS, CA, 125 SEVENTH ST.
SAN LUIS OBISPO CLASSICAL ACADEMY, SAN LUIS OBISPO, CA, 165 GRAND AVE.
SAN MANUEL HIGH SCHOOL, SAN MANUEL, AZ, 711 MCNAB PARKWAY
SAN MARCOS ADVENTIST JUNIOR ACADEMY, SAN MARCOS, TX, 1523 OLD RANCH RD 12
SAN MARCOS BAPTIST ACADEMY, SAN MARCOS, TX, 2801 RANCH RD 12
SAN MARCOS ELEMENTARY SCHOOL, CHANDLER, AZ, 451 WEST FRYE ROAD
SAN MARCOS HIGH, SAN MARCOS, CA, 1615 SAN MARCOS BLVD.
SAN MARIN HIGH, NOVATO, CA, 15 SAN MARIN DR.
SAN MARINO HIGH, SAN MARINO, CA, 2701 HNTNGTN DR.
SAN MARTIN DE PORRES CATHOLIC SCHOOL, WESLACO, TX, 905 N TEXAS BLVD
SAN MARTIN GWINN ENVIRONMENTAL SCIENCE ACADEMY, SAN MARTIN, CA, 13745 LLAGAS AVE.
SAN MATEO ADULT, SAN MATEO, CA, 789 EAST POPLAR AVE.
SAN MIGUEL CATHOLIC SCHOOL, LOS ANGELES, CA, 2270 EAST 108TH ST.
SAN MIGUEL COMMUNITY DAY, SAN MIGUEL, CA, 1601 L ST.
SAN MIGUEL ELEMENTARY, LEMON GROVE, CA, 7059 SAN MIGUEL AVE.
SAN MIGUEL ELEMENTARY, SANTA ROSA, CA, 5350 FAUGHT RD.
SAN MIGUEL ELEMENTARY, SUNNYVALE, CA, 777 SAN MIGUEL AVE.
SAN XAVIER MISSION SCHOOL, TUCSON, AZ, 1980 W SAN XAVIER RD
SAND HILL ELEMENTARY SCHOOL, RICHTON, MS, 39455 HWY 63 NORTH
SAND LAKE ELEMENTARY, ANCHORAGE, AK, 7500 JEWEL LAKE RD
SAND LAKE ELEMENTARY, ORLANDO, FL, 8301 BUENA VISTA WOODS BLVD
SAND RIDGE JR HIGH, ROY, UT, 2075 W 4600 S
SANDERS CORNER ELEMENTARY, ASHBURN, VA, 43100 ASHBURN FARM PKWY
SANDIA MONTESSORI SCHOOL OF ALBUQUERQUE, ALBUQUERQUE, NM, 3240 JUAN TABO BLVD NE A
SANDIA VIEW CHRISTIAN SCHOOL, CORRALES, NM, 24 ACADEMY DR
SANDIA VISTA ELEMENTARY, RIO RANCHO, NM, 6800 FRANKLIN RD NE
SANDLAPPER ELEMENTARY, COLUMBIA, SC, 1001 LONGTOWN ROAD
SANDOVAL ACADEMY OF BILINGUAL EDUCATION, RIO RANCHO, NM, 4321 FULCRUM WAY NE SUITE A
SANDOVAL ELEM SCHOOL, CHICAGO, IL, 5534 S ST LOUIS AVE
SANDOVAL JR HIGH SCHOOL, SANDOVAL, IL, 859 W MISSOURI AVE
SANDOVAL SR HIGH SCHOOL, SANDOVAL, IL, 859 W MISSOURI AVE
SANDOWN CENTRAL SCHOOL, SANDOWN, NH, 295 MAIN ST.
SANDOWN NORTH ELEMENTARY SCHOOL, SANDOWN, NH, 23 STAGECOACH RD.
SANDPIPER ELEMENTARY SCHOOL, SCOTTSDALE, AZ, 6724 E HEARN ROAD
SANDPIPER ELEMENTARY SCHOOL, SUNRISE, FL, 3700 N HIATUS RD
SANDPIPER SHORES ELEMENTARY SCHOOL, BOCA RATON, FL, 11201 GLADES RD
SANDPOINT CHRISTIAN SCHOOL, PONDERAY, ID, 477954 HWY 95
SANDPOINT HIGH SCHOOL, SANDPOINT, ID, 410 SOUTH DIVISION STREET
SANDPOINT JR ACADEMY, SANDPOINT, ID, 2255 PINE ST
SANDPOINT JUVENILE DETENTION, SANDPOINT, ID, 4105 NORTH BOYER AVENUE
SANDRA DAY O'CONNOR HIGH SCHOOL, GLENDALE, AZ, 25250 N. 35TH AVENUE
SANDRA TODD-WILLIAMS ACADEMY, DENVER, CO, 4909 CATHAY STREET
SANDRA TOVAR MEDEIROS ELEMENTARY, TURLOCK, CA, 651 W. SPRINGER DR.
SANDRIDGE ELEM SCHOOL, LYNWOOD, IL, 2950 GLENWOOD-DYER
SANDRINI (LOUISE) ELEMENTARY, BAKERSFIELD, CA, 4100 ALUM AVE.
SANDROCK ELEMENTARY, CRAIG, CO, 201 EAST 9TH
SANDS MONTESSORI ELEMENTARY SCHOOL, CINCINNATI, OH, 6421 CORBLY RD
SANDSTON ELEMENTARY, SANDSTON, VA, 7 NAGLEE AVE
SANDSTONE MIDDLE SCHOOL, HERMISTON, OR, 400 NE 10TH ST
SANDSTONE SCHOOL, BILLINGS, MT, 1440 NUTTER BLVD
SANDSTONE SCHOOL, ST GEORGE, UT, 850 N 2450 E
SANDTOWN MIDDLE SCHOOL, ATLANTA, GA, 5400 CAMPBELLTON RD SW
SANDUSKY CAREER CENTER, SANDUSKY, OH, 2130A HAYES AVE
SANDUSKY CENTRAL CATHOLIC SCHOOL, SANDUSKY, OH, 410 W JEFFERSON ST
SANDUSKY ELEMENTARY, LYNCHBURG, VA, 5828 APACHE LN
SANDUSKY ELEMENTARY SCHOOL, SANDUSKY, MI, 395 S SANDUSKY RD
SANDWICH CENTRAL SCHOOL, CTR. SANDWICH, NH, 28 SQUAM LAKE RD.
SANDWICH COMMUNITY HIGH SCHOOL, SANDWICH, IL, 515 LIONS RD
SANDY CREEK HIGH SCHOOL, FAIRFIELD, NE, 30671 HWY 14
SANDY GRADE SCHOOL, SANDY, OR, 38955 PLEASANT ST
SANDY HILL ELEMENTARY, CAMBRIDGE, MD, 1503 GLASGOW ROAD
SANDY HILL SCHOOL, JENISON, MI, 1990 BALDWIN ST
SANDY HILL SCHOOL/IVAN KING, COATESVILLE, PA, 162 ASH RD
SANDY HOOK ELEMENTARY SCHOOL, SANDY HOOK, KY, 349 SOUTH KY 7
SANDY KNOLL SCHOOL, MARQUETTE, MI, 401 NORTH 6TH ST
SANDY RIDGE  ELEMENTARY, SANDY RIDGE, NC, 1070 AMOSTOWN ROAD
SANDY RIDGE ELEMENTARY, DURHAM, NC, 1417 OLD OXFORD HIGHWAY
SANDY RIVER MIDDLE SCHOOL, AVONDALE, WV, ROUTE 80
SANDY RUN MS, DRESHER, PA, 520 TWINING RD
SANDY SPRINGS MIDDLE SCHOOL, ATLANTA, GA, 8750 COLONEL DR
SANDY VALLEY ELEMENTARY SCHOOL, MAGNOLIA, OH, 5018 STATE ROUTE 183 NE
SANDY VALLEY ELEMENTARY SCHOOL, SANDY VALLEY, NV, 1420 E. PEARL AVE.
SANDYMOUNT ELEMENTARY, FINKSBURG, MD, 2222 OLD WESTMINSTER PIKE
SANFORD ELEMENTARY SCHOOL, SANFORD, CO, 755 SECOND STREET
SANFORD H CALHOUN HIGH SCHOOL, MERRICK, NY, 1786 STATE ST
SANGAREE ELEMENTARY, SUMMERVILLE, SC, 1460 ROYLE ROAD
SANTA BARBARA COUNTY ROP-SOUTH, SANTA BARBARA, CA, 4400 CATHEDRAL OAKS RD.
SANTA CLARA ADULT, SANTA CLARA, CA, 1840 BENTON ST.
SANTA CLARA CHRISTIAN SCHOOL, SANTA CLARA, CA, 3421 MONROE ST
SANTA CLARA COMMUNITY DAY, SANTA CLARA, CA, 3450 BROOKDALE DR.
SANTA CLARA ELEMENTARY, OXNARD, CA, 324 SOUTH E ST.
SANTA CLARA ELEMENTARY, SANTA PAULA, CA, 20030 E. TELEGRAPH RD.
SANTA CLARA HIGH SCHOOL, OXNARD, CA, 2121 SAVIERS RD
SANTA CRUZ GARDENS ELEMENTARY, SANTA CRUZ, CA, 8005 WINKLE AVE.
SANTA FE GIRLS' SCHOOL, SANTA FE, NM, 310 W ZIA RD
SANTA FE HIGH, ALMA, MO, 108 N CHIEFS
SANTA FE HIGH, SANTA FE SPRINGS, CA, 10400 S. ORR AND DAY RD.
SANTA FE HS, EDMOND, OK, 1901 WEST 15TH STREET
SANTA FE KIDS COMPANY OF CALIFORNIA, WHITTIER, CA, 11304 WASHINGTON BLVD
SANTA FE SOUTH EARLY CHILDHOOD, OKLAHOMA CITY, OK, 2222 SW 44TH ST
SANTA FE TRAIL ELEM., INDEPENDENCE, MO, 1301 S WINDSOR ST
SANTA FE TRAIL HIGH, CARBONDALE, KS, 15701 S CALIFORNIA AVE
SANTA FE UNIT SCHOOL, SANTA FE, TN, 2629 SANTA FE PIKE
SANTA LUCIA ELEMENTARY, KING CITY, CA, 502 COLLINS ST.
SANTA LUCIA MIDDLE, CAMBRIA, CA, 2850 SCHHOUSE LN.
SANTA LUCIA SCHOOL, TEMPLETON, CA, 1460 PLUM ORCHARD LN.
SANTA MARGARITA ACADEMY, FALLBROOK, CA, 400 W. ELDER ST.
SANTA ROSA ROAD ACADEMIC ACADEMY, ATASCADERO, CA, 8655 SANTA ROSA RD.
SANTAN ELEMENTARY, CHANDLER, AZ, 1550 E. CHANDLER HEIGHTS ROAD
SANTIAGO ELEMENTARY, LAKE FOREST, CA, 24982 RIVENDELL DR.
SANTO H S, SANTO, TX, 406 FM 2201
SAP PROGRAM, LEXINGTON, KY, 1155 RED MILE PLACE
SAPA UN CATHOLIC ACADEMY ELEMENTARY, SAINT FRANCIS, SD, 350 S OAK ST
SAPPINGTON ELEM., ST LOUIS, MO, 11011 GRAVOIS RD
SARA HARP MINTER ELEMENTARY SCHOOL, FAYETTEVILLE, GA, 1650 HIGHWAY 85 S
SARA M. GILMORE ACADEMY, UNION CITY, NJ, 1700 KERRIGAN AVENUE
SARAH B. COOPER ELEMENTARY, SAN FRANCISCO, CA, 940 FILBERT ST.
SARAH G BANKS MIDDLE SCHOOL, WIXOM, MI, 1760 CHARMS RD
SARAH GREENWOOD, DORCHESTER, MA, 189 GLENWAY STREET
SARAH MILNER ELEMENTARY SCHOOL, LOVELAND, CO, 743 JOCELYN DRIVE
SARASOTA SUNCOAST ACADEMY, SARASOTA, FL, 8084 HAWKINS RD
SARASOTA VIRTUAL ACADEMY (VIRTUAL FRANCHISE), SARASOTA, FL, 4748 BENEVA RD
SARATOGA SHORES SCHOOL, SARATOGA SPRINGS, UT, 1415 S PARKSIDE DRIVE
SARDIS HIGH SCHOOL, SARDIS CITY, AL, 1420 CHURCH ST
SASAKWA ES, SASAKWA, OK, 106 NORTH OLIVE
SATELLITE ACADEMY HIGH SCHOOL, NEW YORK, NY, 120 W 30TH ST
SATICOY ELEMENTARY, NORTH HOLLYWOOD, CA, 7850 ETHEL AVE.
SATILLA MARSH ELEMENTARY SCHOOL, BRUNSWICK, GA, 360 S PORT PKWY
SATOR SANCHEZ ELEM SCHOOL, JOLIET, IL, 1101 HARRISON AVE
SATSUMA CHRISTIAN SCHOOL, SATSUMA, AL, 5600 OLD HWY 43
SATTERLEE SCHOOL, GREENVILLE, MI, 8153 SATTERLEE ROAD
SATURN GIFTED MAGNET, LOS ANGELES, CA, 5360 SATURN ST.
SAUGATUCK MIDDLE SCHOOL, SAUGATUCK, MI, 401 ELIZABETH ST
SAUGERTIES JUNIOR HIGH SCHOOL, SAUGERTIES, NY, 310 WASHINGTON AVE EXT
SAUL MARTINEZ ELEMENTARY, MECCA, CA, 65-705 JOHNSON ST.
SAUL W B AGRICULTURAL SCHOOL, PHILADELPHIA, PA, 7100 HENRY AVENUE
SAUQUOIT VALLEY ELEMENTARY SCHOOL, SAUQUOIT, NY, 2601 ONEIDA ST
SAUQUOIT VALLEY MIDDLE SCHOOL, SAUQUOIT, NY, 2601 ONEIDA ST
SAUVIE ISLAND SCHOOL, PORTLAND, OR, 14445 NW CHARLTON RD
SAVAGE ROAD ELEMENTARY SCHOOL, BELLEVILLE, MI, 42975 SAVAGE RD
SAVAGE SCHOOL, SAVAGE, MT, 368 MESA SOUTH
SAVANNA RIDGE ELEMENTARY SCHOOL, PORT ST LUCIE, FL, 6801 SE LENNARD RD
SAVANNAH CHRISTIAN MIDDLE SCHOOL, SAVANNAH, GA, 1599 CHATHAM PKWY
SAVANNAH ELEMENTARY, ROSEMEAD, CA, 3720 N. RIO HONDO AVE.
SAVIN ROCK COMMUNITY SCHOOL, WEST HAVEN, CT, 50 PARK ST.
SAVOY H S, SAVOY, TX, 302 W HAYES
SAW MILL ROAD SCHOOL, NORTH BELLMORE, NY, 2801 SAW MILL RD
SAWMILL INTERMEDIATE SCHOOL, COMMACK, NY, 103 NEW HWY
SAXE MIDDLE SCHOOL, NEW CANAAN, CT, 468 SOUTH AVE.
SAXON HILL SCHOOL, JERICHO, VT, 10 RIVER RD
SAXTON RIVER ELEMENTARY SCHOOL, SAXTONS RIVER, VT, 15 SCHOOL STREET
SAYEN ELEMENTARY SCHOOL, HAMILTON, NJ, 3333 NOTTINGHAM WAY
SAYLER PARK ELEMENTARY SCHOOL, CINCINNATI, OH, 6700 HOME CITY AVE
SAYRE HS, SAYRE, OK, 800 E HANNAH DR
SAYVILLE HIGH SCHOOL, WEST SAYVILLE, NY, 20 BROOK ST
SC CONNECTIONS ACADEMY, COLUMBIA, SC, 220 STONERIDGE DRIVE SUITE 403
SC GOVERNOR'S SCHOOL FOR SCIENCE AND MATHEMATICS, HARTSVILLE, SC, 401 RAILROAD AVENUE
SC SCHOOL FOR THE BLIND ELEMENTARY/MIDDLE, SPARTANBURG, SC, 355 CEDAR SPRINGS ROAD
SCALES ELEMENTARY, BRENTWOOD, TN, 6430 MURRAY LN
SCALES MOUND ELEM SCHOOL, SCALES MOUND, IL, 210 MAIN ST
SCAMMON ELEM SCHOOL, CHICAGO, IL, 4201 W HENDERSON ST
SCANDIA ELEMENTARY, TRAVIS AFB, CA, 100 BRD.WAY ST.
SCANDINAVIAN MIDDLE, FRESNO, CA, 3216 N. SIERRA VISTA
SCAPA AT BLUEGRASS, LEXINGTON, KY, 400 LAFAYETTE PKWY
SCARBOROUGH ELEM, OLATHE, KS, 2000 LINDENWOOD
SCARBOROUGH HIGH SCHOOL, SCARBOROUGH, ME, 11 MUNICIPAL DRIVE
SCENIC ELEMENTARY SCHOOL, GRAND JUNCTION, CO, 451 WEST SCENIC DR
SCENIC HEIGHTS ELEMENTARY, MINNETONKA, MN, 5650 SCENIC HEIGHTS DR
SCENIC HILL ELEMENTARY SCHOOL, KENT, WA, 26025 WOODLAND WAY S
SCENIC HILLS CHRISTIAN ACADEMY, SAN ANTONIO, TX, 11223 BANDERA RD
SCHALLER-CRESTLAND M.S. RIDGE VIEW MIDDLE SCHOOL, EARLY, IA, 310 W MAIN
SCHALMONT MIDDLE SCHOOL, SCHENECTADY, NY, 2 SABRE DR
SCHENK ELEMENTARY, MADISON, WI, 230 SCHENK ST
SCHLEGEL ROAD ELEMENTARY SCHOOL, WEBSTER, NY, 1548 SCHLEGEL RD
SCHLESWIG ELEMENTARY SCHOOL, SCHLESWIG, IA, 714 DATE STREET
SCHMIDT ELEMENTARY SCHOOL, BRANDON, FL, 1250 WILLIAMS RD
SCHMITT ELEMENTARY SCHOOL, DENVER, CO, 1820 SOUTH VALLEJO STREET
SCHOFIELD, WELLESLEY, MA, 27 CEDAR STREET
SCHOFIELD ELEMENTARY SCHOOL, WARREN, MI, 21555 WARNER
SCHOHARIE HIGH SCHOOL, SCHOHARIE, NY, 136 ACADEMY DR
SCHOLAR PLUS ONLINE LEARNING, PERRIS, CA, 418 ELLIS AVE.
SCHOLARS' ACADEMY, ROCKAWAY PARK, NY, 320 BEACH 104TH ST
SCHOOL #12, CLIFTON, NJ, 165 CLIFTON AVENUE
SCHOOL #13, CLIFTON, NJ, 782 VAN HOUTEN AVENUE
SCHOOL #8, CLIFTON, NJ, 41 OAK STREET
SCHOOL 1, PATERSON, NJ, 1 EAST 32ND STREET
SCHOOL 2, OCEANSIDE, NY, 2745 TERRELL AVE
SCHOOL 22, YONKERS, NY, 1408 NEPPERHAN AVE
SCHOOL 25-NATHANIEL HAWTHORNE, ROCHESTER, NY, 965 N GOODMAN ST
SCHOOL 3, OCEANSIDE, NY, 2852 FORTESQUE AVE
SCHOOL 3, PATERSON, NJ, 448 MAIN STREET
SCHOOL 41-KODAK PARK, ROCHESTER, NY, 279 W RIDGE RD
SCHOOL 50-HELEN BARRETT MONTGOMERY, ROCHESTER, NY, 301 SENECA AVE
SCHOOL COMMUNITY GUIDANCE CENTER, DALLAS, TX, 3313 S BECKLEY AVE BLDG E
SCHOOL DIST 133 ANNEX, RIVERDALE, IL, 150 W 137TH ST
SCHOOL FOR ADVANCED STUDIES - SOUTH, MIAMI, FL, 11011 SW 104TH ST # T-301
